state,model,rmse,mae,mape
NSW,RandomForest,79.19,72.83,5.5806
VIC,RandomForest,22.23,20.3,2.1674
QLD,RandomForest,16.11,14.13,1.3743
SA,RandomForest,20.86,18.96,2.0614
WA,RandomForest,41.22,30.56,2.9435
